           6   9000.0000    
         0.0000         0.0000         0.0000      9000.0000
         0.0000      9000.0000      6000.0000      9000.0000
      6000.0000      9000.0000      9000.0000      9000.0000
      6000.0000      9000.0000      9000.0000      6000.0000
      9000.0000      9000.0000      9000.0000      6000.0000
      9000.0000      6000.0000      9000.0000         0.0000
     13220.5918     -3410.8569   9298086.0000    -13220.5918      3410.8569  21399622.0000
      3410.8125     13220.5928 -21399628.0000     -3410.8125    -13220.5928 -57923928.0000
    -11876.7500     -6369.1250  21507420.0000     11876.7500      6369.1250  -2400040.0000
     40357.5000    -18320.6660  36416520.0000    -40357.5000     18320.6660  41311460.0000
      6369.1172    -11876.6836   2400056.0000     -6369.1172     11876.6836  33230016.0000
     50814.4102     22362.0352 -74541488.0000    -50814.4102    -22362.0352 -59630736.0000
         0.0000         0.0000         0.0000         2.3654        -0.0915         0.0034
         2.3654        -0.0915         0.0034         2.3497       -14.8411        -0.0034
         2.3497       -14.8411        -0.0034         2.3771        -0.2492        -0.0057
         2.3497       -14.8411        -0.0034        16.7700        -0.2345        -0.0028
         2.3771        -0.2492        -0.0057        16.7700        -0.2345        -0.0028
        16.7700        -0.2345        -0.0028         0.0000         0.0000         0.0000
